"SUID","ACC","CAZY","CLASS","Cluster Size","Description","Domain","EC","EFI_ID","FAMILY","GDNA","GENUS","GI","GN","GO","HMP_Body_Site","HMP_Oxygen","IPRO","name","ORDER","Organism","PDB","PFAM","PHYLUM","selected","Sequence_Length","shared name","SPECIES","STATUS","Swissprot_Description","Taxonomy_ID","Uniprot_ID"
"1175346","R5VHS0","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN512_00976","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5VHS0","NA","Clostridium sp. CAG:167.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","568","R5VHS0","NA","Unreviewed","NA","1262777","R5VHS0_9CLOT"
"1175347","A0A0R1R6B3","None","Bacilli","1","Formate acetyltransferase 2 ","Bacteria","None","NA","Lactobacillaceae","False","Lactobacillus","948723666:0","FD01_GL000041","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR010098 PFL2|IPR004184 PFL_dom","A0A0R1R6B3","Lactobacillales","Lactobacillus manihotivorans DSM 13343 = JCM 12514.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","571","A0A0R1R6B3","Lactobacillus manihotivorans","Unreviewed","NA","1423769","A0A0R1R6B3_9LAC"
"1175348","A0A0S8E684","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","931461125:0","AMJ65_04590","0016740 transferase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0S8E684","NA","Phycisphaerae bacterium SG8_4.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","572","A0A0S8E684","NA","Unreviewed","NA","1703409","A0A0S8E684_9BAC"
"1175349","A0A0S8HNF7","None","NA","1","Uncharacterized protein ","Bacteria","None","NA","NA","False","NA","931508300:0","AMJ81_00495","0003824 catalytic activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0S8HNF7","NA","Phycisphaerae bacterium SM23_33.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","573","A0A0S8HNF7","NA","Unreviewed","NA","1703412","A0A0S8HNF7_9BAC"
"1175334","J9H7W4","None","NA","1","Protein containing Pyruvate formate-lyase, PFL domain protein ","unclassified sequences","2.3.1.54 {ECO:0000313|EMBL:EJX10400.1}","NA","NA","False","NA","None","EVA_01350","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","J9H7W4","NA","gut metagenome.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","535","J9H7W4","NA","Unreviewed","NA","749906","J9H7W4_9ZZZZ"
"1175335","R6E6H1","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN760_00956","0016740 transferase activity","None","None","IPR004184 PFL_dom","R6E6H1","NA","Bacteroides sp. CAG:709.","None","PF02901 PFL","NA","false","535","R6E6H1","NA","Unreviewed","NA","1262748","R6E6H1_9BACE"
"1175336","A0A0F9C6I1","None","NA","1","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","LCGC14_2362370","0003824 catalytic activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0F9C6I1","NA","marine sediment metagenome.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","536","A0A0F9C6I1","NA","Unreviewed","NA","412755","A0A0F9C6I1_9ZZZ"
"1175337","A0A0S8K0V5","None","NA","1","Uncharacterized protein ","Bacteria","None","NA","NA","False","NA","931539849:0","AMS26_07205","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0S8K0V5","NA","Bacteroides sp. SM23_62.","None","PF02901 PFL","NA","false","538","A0A0S8K0V5","NA","Unreviewed","NA","1703352","A0A0S8K0V5_9BAC"
"1175338","A4GKI6","None","NA","1","Benzylsuccinate synthase subunit A ","Bacteria.","None","NA","NA","False","NA","129561860:0","bssA","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A4GKI6","NA","bacterium bssA-2.","None","PF02901 PFL","NA","false","544","A4GKI6","NA","Unreviewed","NA","430489","A4GKI6_9BACT"
"1175339","R5XIN1","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN537_00677","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5XIN1","NA","Firmicutes bacterium CAG:212.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","544","R5XIN1","NA","Unreviewed","NA","1263009","R5XIN1_9FIRM"
"1175340","R5ELG2","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN779_01335","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5ELG2","NA","Succinatimonas sp. CAG:777.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","544","R5ELG2","NA","Unreviewed","NA","1262974","R5ELG2_9GAMM"
"1175341","R5PA42","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN465_02187","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5PA42","NA","Prevotella sp. CAG:1092.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","544","R5PA42","NA","Unreviewed","NA","1262919","R5PA42_9BACT"
"1175358","G5J521|T2IT99|T2JZ19","None","None|NA","3","Pyruvate formate-lyase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:EHJ12715.1}|2.3.1.54 {ECO:0000313|EMBL:CCQ56174.1}|2.3.1.54 {ECO:0000313|EMBL:CCQ70319.1}","NA","Aphanothecaceae|NA","False","Crocosphaera|NA","357263747:1|None","CWATWH0003_2586t1|CWATWH0005_3276|CWATWH0402_2639","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom|IPR005949 Form_AcTrfase","T2IT99","Chroococcales|NA","Crocosphaera watsonii WH 0003.|Crocosphaera watsonii WH 0005.|Crocosphaera watsonii WH 0402.","None","PF01228 Gly_radical|PF02901 PFL","Cyanobacteria|NA","false","569|611","T2IT99","Crocosphaera watsonii|NA","Unreviewed","NA","423471|423472|1284629","G5J521_CROWT|T2IT99_CROWT|T2JZ19_CROWT"
"1175359","R7A2I4","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN624_00733","0008861 formate C-acetyltransferase activity","None","None","IPR005949 Form_AcTrfase|IPR004184 PFL_dom","R7A2I4","NA","Clostridium sp. CAG:356.","None","PF02901 PFL","NA","false","612","R7A2I4","NA","Unreviewed","NA","1262800","R7A2I4_9CLOT"
"1175360","A0A0S8GU00","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","931497001:0","AMJ79_06460","0016740 transferase activity","None","None","IPR004184 PFL_dom","A0A0S8GU00","NA","Phycisphaerae bacterium SM23_30.","None","PF02901 PFL","NA","false","614","A0A0S8GU00","NA","Unreviewed","NA","1703411","A0A0S8GU00_9BAC"
"1175361","A0A077ZJ88","None","Enoplea","1","Fer4 12 and Radical SAM and PFL domain containing protein ","Eukaryota","None","NA","Trichuridae","False","Trichuris","669217052:0","TTRE_0000884701","0051539 4 iron  4 sulfur cluster binding|0016491 oxidoreductase activity","None","None","IPR012839 Organic_radical_activase|IPR004184 PFL_dom|IPR001989 Radical_activat_CS|IPR007197 rSAM","A0A077ZJ88","Trichocephalida","Trichuris trichiura ","None","PF02901 PFL|PF04055 Radical_SAM","Nematoda","false","616","A0A077ZJ88","Trichuris trichiura","Unreviewed","NA","36087","A0A077ZJ88_TRIT"
"1175362","R5SSU7","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN527_01992","0008861 formate C-acetyltransferase activity","None","None","IPR005949 Form_AcTrfase|IPR001150 Gly_radical|IPR004184 PFL_dom","R5SSU7","NA","Acinetobacter sp. CAG:196.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","620","R5SSU7","NA","Unreviewed","NA","1262690","R5SSU7_9GAMM"
"1175363","A0A0F2JAL9","None","Clostridia","1","Pyruvate formate-lyase ","Bacteria","None","NA","Peptococcaceae","False","Desulfosporosinus","778259710:0","UF75_4383","0016829 lyase activity","None","None","IPR004184 PFL_dom","A0A0F2JAL9","Clostridiales","Desulfosporosinus sp. I2.","None","PF02901 PFL","Firmicutes","false","621","A0A0F2JAL9","Desulfosporosinus sp. I2","Unreviewed","NA","1617025","A0A0F2JAL9_9FIR"
"1175364","Q24T37","None","Clostridia","1","Putative pyruvate-formate lyase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:BAE84805.1}","NA","Peptococcaceae","False","Desulfitobacterium","499780051:1","DSY3016","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","Q24T37","Clostridiales","Desulfitobacterium hafniense  (strain Y51)","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","626","Q24T37","Desulfitobacterium hafniense","Unreviewed","NA","138119","Q24T37_DESHY"
"1175365","A0A0F2SG71","None","NA","1","Dehydrogenase ","Bacteria","None","NA","NA","False","NA","780849578:0","VR66_09540","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0F2SG71","NA","Peptococcaceae bacterium BRH_c23.","None","PF02901 PFL","NA","false","626","A0A0F2SG71","NA","Unreviewed","NA","1629714","A0A0F2SG71_9FIR"
"1175350","A0A0S8IJ57","None","NA","1","Uncharacterized protein ","Bacteria.","None","NA","NA","False","NA","931518611:0","AMJ80_00480","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0S8IJ57","NA","bacterium SM23_31.","None","PF02901 PFL","NA","false","582","A0A0S8IJ57","NA","Unreviewed","NA","1703762","A0A0S8IJ57_9BAC"
"1175351","R5YZ99","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN504_01332","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5YZ99","NA","Eubacterium sp. CAG:156.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","583","R5YZ99","NA","Unreviewed","NA","1262880","R5YZ99_9FIRM"
"1175352","K1RNT2","None","NA","1","Protein containing Pyruvate formate-lyase, PFL domain protein ","unclassified sequences","2.3.1.54 {ECO:0000313|EMBL:EKC43295.1}","NA","NA","False","NA","None","LEA_21213","0008861 formate C-acetyltransferase activity|0016829 lyase activity","Not Specified","Not Specified","IPR004184 PFL_dom","K1RNT2","NA","human gut metagenome.","None","PF02901 PFL","NA","false","587","K1RNT2","NA","Unreviewed","NA","408170","K1RNT2_9ZZZZ"
"1175353","A0A0F9FRV9","None","NA","1","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","LCGC14_1916630","0003824 catalytic activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0F9FRV9","NA","marine sediment metagenome.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","593","A0A0F9FRV9","NA","Unreviewed","NA","412755","A0A0F9FRV9_9ZZZ"
"1175354","A0A0F8VKZ9","None","NA","1","Benzylsuccinate synthase alpha subunit ","Archaea","None","NA","NA","False","NA","816393484:0","Lokiarch_12750","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0F8VKZ9","NA","Lokiarchaeum sp. GC14_75.","None","PF02901 PFL","NA","false","605","A0A0F8VKZ9","NA","Unreviewed","NA","1538547","A0A0F8VKZ9_9ARC"
"1175355","R6M2V7","None","NA","1","Pyruvate-formate lyase ","Bacteria","None","NA","NA","False","NA","None","BN565_00943","0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","R6M2V7","NA","Clostridium sp. CAG:253.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","606","R6M2V7","NA","Unreviewed","NA","1262785","R6M2V7_9CLOT"
"1175356","I6GMV0","None","Gammaproteobacteria","1","Formate acetyltransferase 1 ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:EIQ69842.1}","NA","Enterobacteriaceae","False","Shigella","391312223:0","SF123566_5394","0008861 formate C-acetyltransferase activity","Not Specified","Facultative","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","I6GMV0","Enterobacteriales","Shigella flexneri 1235-66.","None","PF01228 Gly_radical|PF02901 PFL","Proteobacteria","false","608","I6GMV0","Shigella flexneri","Unreviewed","NA","766154","I6GMV0_SHIFL"
"1175357","A0A164NCE3","None","Bacilli","1","Pyruvate formate-lyase ","Bacteria","None","NA","Bacillaceae","False","Bacillus","1017073499:1","B4088_3331","0016829 lyase activity","Not Specified","Aerobe","IPR004184 PFL_dom","A0A164NCE3","Bacillales","Bacillus cereus.","None","PF02901 PFL","Firmicutes","false","609","A0A164NCE3","Bacillus cereus","Unreviewed","NA","1396","A0A164NCE3_BACC"
"1175374","A0A0S7ZS05","None","NA","1","Uncharacterized protein ","Bacteria","None","NA","NA","False","NA","931401269:0","AMS17_00255","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0S7ZS05","NA","Spirochaetes bacterium DG_61.","None","PF02901 PFL","NA","false","651","A0A0S7ZS05","NA","Unreviewed","NA","1704237","A0A0S7ZS05_9SPI"
"1175375","H5XZF3","None","Clostridia","1","Pyruvate-formate lyase ","Bacteria","None","NA","Peptococcaceae","False","Desulfosporosinus","374419424:1","DesyoDRAFT_4918","0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","H5XZF3","Clostridiales","Desulfosporosinus youngiae DSM 17734.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","653","H5XZF3","Desulfosporosinus youngiae","Unreviewed","NA","768710","H5XZF3_9FIRM"
"1175376","A0A0F9EIS0","None","NA","1","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","LCGC14_2070280","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0F9EIS0","NA","marine sediment metagenome.","None","PF02901 PFL","NA","false","653","A0A0F9EIS0","NA","Unreviewed","NA","412755","A0A0F9EIS0_9ZZZ"
"1175377","A0A087B617","None","Actinobacteria","1","Formate acetyltransferase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:KFI66467.1}","NA","Bifidobacteriaceae","False","Bifidobacterium","672971029:0","BKAS_1320","0051539 4 iron  4 sulfur cluster binding|0043365 [formate-C-acetyltransferase]-activating enzyme activity|0008861 formate C-acetyltransferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR012838 PFL_activating|IPR004184 PFL_dom|IPR001989 Radical_activat_CS|IPR007197 rSAM","A0A087B617","Bifidobacteriales","Bifidobacterium kashiwanohense JCM 15439 = DSM 21854.","None","PF01228 Gly_radical|PF02901 PFL|PF04055 Radical_SAM","Actinobacteria","false","661","A0A087B617","Bifidobacterium kashiwanohense","Unreviewed","NA","1150460","A0A087B617_9BIF"
"1175378","A0A0I1P0K1|J2NAE7","None","Gammaproteobacteria","2","Putative formate acetyltransferase 2 |Pyruvate formate-lyase ","Bacteria","4.1.1.83 {ECO:0000313|EMBL:CSK46414.1}|2.3.1.54 {ECO:0000313|EMBL:EJL11032.1}","NA","Enterobacteriaceae","False","Shigella","991848835:4|397894591:1","ERS009810_00699|SSMOSELEY_5138","0043722 4-hydroxyphenylacetate decarboxylase activity|0008861 formate C-acetyltransferase activity|0016829 lyase activity","None|Not Specified","None|Facultative","IPR010098 PFL2|IPR004184 PFL_dom","A0A0I1P0K1","Enterobacteriales","Shigella sonnei.|Shigella sonnei str. Moseley.","None","PF02901 PFL","Proteobacteria","false","661","A0A0I1P0K1","Shigella sonnei","Unreviewed","NA","624|754077","A0A0I1P0K1_SHIS|J2NAE7_SHISO"
"1175379","D5ET86","None","Bacteroidia","1","Pyruvate formate lyase family protein ","Bacteria","None","NA","Prevotellaceae","False","Prevotella","502828599:1","PRU_1537","0016829 lyase activity","Not Specified","Anaerobe","IPR001150 Gly_radical|IPR004184 PFL_dom","D5ET86","Bacteroidales","Prevotella ruminicola  (strain ATCC 19189 / JCM 8958 / 23)","None","PF01228 Gly_radical|PF02901 PFL","Bacteroidetes","false","664","D5ET86","Prevotella ruminicola","Unreviewed","NA","264731","D5ET86_PRER2"
"1175380","A0A0E2HN50","None","Clostridia","1","Uncharacterized protein ","Bacteria","None","NA","Lachnospiraceae","False","Lachnoclostridium","480669985:1","HMPREF1090_02734","0003824 catalytic activity","Not Specified","Not Specified","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0E2HN50","Clostridiales","[Clostridium] clostridioforme 90A8.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","664","A0A0E2HN50","[Clostridium] clostridioforme","Unreviewed","NA","999408","A0A0E2HN50_9FIR"
"1175381","H1BJS5|U5FA69","None","Clostridia|Erysipelotrichia","2","Uncharacterized protein ","Bacteria","None","NA","Eubacteriaceae|Erysipelotrichaceae","False","Eubacterium|None","371967892:0|534534246:0","HMPREF0984_00632|HMPREF0863_01218","0003824 catalytic activity","Gastrointestinal tract","Anaerobe|Not Specified","IPR001150 Gly_radical|IPR004184 PFL_dom","H1BJS5","Clostridiales|Erysipelotrichales","Eubacterium sp. 3_1_31.|Erysipelotrichaceae bacterium 5_2_54FAA.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","664","H1BJS5","Eubacterium sp. 3_1_31|Erysipelotrichaceae bacterium 5_2_54FAA","Unreviewed","NA","457402|552396","H1BJS5_9FIRM|U5FA69_9FIRM"
"1175366","R6T0L9","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN777_01315","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R6T0L9","NA","Bacteroides sp. CAG:770.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","632","R6T0L9","NA","Unreviewed","NA","1262751","R6T0L9_9BACE"
"1175367","A0A135VWA9","None","NA","1","Uncharacterized protein ","Archaea","None","NA","NA","False","NA","998177569:0","AM324_13225","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A135VWA9","NA","Candidatus Thorarchaeota archaeon SMTZ1-83.","None","PF02901 PFL","NA","false","635","A0A135VWA9","NA","Unreviewed","NA","1706445","A0A135VWA9_9ARC"
"1175368","A0A090T807","None","NA","1","Pyruvate formate-lyase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:GAL35368.1}","NA","NA","False","NA","None","JCM19240_3738","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR010098 PFL2|IPR004184 PFL_dom","A0A090T807","NA","Vibrio maritimus.","None","PF02901 PFL","NA","false","637","A0A090T807","NA","Unreviewed","NA","990268","A0A090T807_9VIB"
"1175369","T2GGV4","None","Methanobacteria","1","Putative pyruvate-formate lyase ","Archaea","None","NA","Methanobacteriaceae","False","Methanothermobacter","427188823:1","MTCT_0292","0016829 lyase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","T2GGV4","Methanobacteriales","Methanothermobacter sp. CaT2.","None","PF01228 Gly_radical|PF02901 PFL","Euryarchaeota","false","638","T2GGV4","Methanothermobacter sp. CaT2","Unreviewed","NA","866790","T2GGV4_9EURY"
"1175370","O26446","None","Methanobacteria","1","Formate acetyltransferase 2 ","Archaea","None","NA","Methanobacteriaceae","True","Methanothermobacter","499178445:1","MTH_346","0016740 transferase activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","O26446","Methanobacteriales","Methanothermobacter thermautotrophicus  (strain ATCC 29096 / DSM 1053 /JCM 10044 / NBRC 100330 / Delta H)","None","PF01228 Gly_radical|PF02901 PFL","Euryarchaeota","false","642","O26446","Methanothermobacter thermautotrophicus","Unreviewed","NA","187420","O26446_METTH"
"1175371","A0A0B8QHE4|A0A0B8Q0C7","None","Gammaproteobacteria","2","Pyeuvate formate-lyase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:GAM76487.1}|2.3.1.54 {ECO:0000313|EMBL:GAM68798.1}","NA","Vibrionaceae","False","Vibrio","None","JCM19241_4024|JCM19236_2795","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR005949 Form_AcTrfase|IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0B8QHE4","Vibrionales","Vibrio ishigakensis.|Vibrio sp. JCM 19236.","None","PF01228 Gly_radical|PF02901 PFL","Proteobacteria","false","643","A0A0B8QHE4","Vibrio ishigakensis|Vibrio sp. JCM 19236","Unreviewed","NA","1481914|1481926","A0A0B8QHE4_9VIB|A0A0B8Q0C7_9VIB"
"1175372","A0A174ATY2","None","Clostridia","1","Formate acetyltransferase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:CUN91987.1}","NA","Lachnospiraceae","False","Anaerostipes","None","ERS852387_01212","None","None","None","None","A0A174ATY2","Clostridiales","Anaerostipes hadrus.","None","None","Firmicutes","false","644","A0A174ATY2","Anaerostipes hadrus","Unreviewed","NA","649756","A0A174ATY2_ANAH"
